price_variant,kind,signal,threshold,dev_n,dev_roi,dev_profit,dev_hit_rate,dev_avg_odds,dev_profitable_seasons,test_n,test_roi,test_profit,test_hit_rate,test_avg_odds,test_profitable_seasons,dev_selection_score
opening_mean,D,gap,0.03,148,-0.2217905405405405,-32.824999999999996,0.16891891891891891,4.8406756756756755,2,40,0.220625,8.825,0.225,4.830875,3,-0.14578282828282826
opening_mean,D,gap,0.04,103,-0.25203883495145624,-25.959999999999994,0.1650485436893204,4.95873786407767,2,28,0.4508928571428571,12.624999999999998,0.25,5.19767857142857,3,-0.14967320261437905
opening_mean,D,gap,0.05,71,-0.3087323943661972,-21.92,0.15492957746478872,5.226338028169013,2,15,-0.029000000000000033,-0.4350000000000005,0.2,5.423333333333333,1,-0.16115702479338845
opening_mean,A,edge,0.0,249,-0.02556224899598393,-6.364999999999998,0.24096385542168675,6.200903614457832,2,124,0.2927822580645161,36.30499999999999,0.33064516129032256,5.470524193548386,3,-0.0012876254180601947
opening_mean,A,edge,0.025,220,-0.00895454545454545,-1.9699999999999989,0.2318181818181818,6.581818181818182,2,101,0.3907920792079207,39.46999999999999,0.3465346534653465,5.771435643564355,4,0.012703703703703708
opening_mean,A,edge,0.05,196,-0.031989795918367356,-6.270000000000001,0.20918367346938777,6.885204081632653,2,90,0.37722222222222207,33.94999999999999,0.3333333333333333,5.84788888888889,2,-0.005487804878048785
opening_mean,A,edge,0.075,183,-0.043032786885245894,-7.874999999999998,0.19672131147540983,7.100573770491804,2,78,0.37224358974358973,29.035,0.2948717948717949,6.335961538461539,2,-0.013798283261802564
opening_mean,A,edge,0.1,169,-0.029230769230769227,-4.9399999999999995,0.1893491124260355,7.377307692307691,2,66,0.4733333333333333,31.239999999999995,0.30303030303030304,6.734242424242424,2,-0.0025570776255707736
opening_mean,A,edge,0.15,147,-0.0028231292517006622,-0.41499999999999737,0.17687074829931973,7.878639455782312,2,47,0.5827659574468084,27.389999999999993,0.2978723404255319,7.647127659574467,3,0.01789340101522844
opening_mean,A,edge,0.2,106,0.10707547169811323,11.350000000000001,0.18867924528301888,8.566698113207547,4,38,0.2839473684210526,10.79,0.2894736842105263,7.161447368421053,3,0.11275641025641026
opening_mean,A,edge,0.3,74,0.33466216216216216,24.765,0.20270270270270271,9.902364864864865,5,19,0.19763157894736838,3.754999999999999,0.2631578947368421,9.248684210526315,2,0.2497177419354839
opening_mean,A,gap,0.01,246,-0.013678861788617873,-3.3649999999999967,0.24390243902439024,6.1638414634146335,2,126,0.31769841269841265,40.029999999999994,0.3492063492063492,5.130238095238095,3,0.00863175675675677
opening_mean,A,gap,0.02,207,-0.0083816425120773,-1.7350000000000012,0.25120772946859904,6.1677053140096625,2,97,0.20994845360824743,20.365000000000002,0.3711340206185567,4.908247422680412,4,0.01324902723735408
opening_mean,A,gap,0.03,174,0.03238505747126437,5.635,0.25862068965517243,6.1306896551724135,3,74,0.19797297297297298,14.65,0.3783783783783784,4.270202702702702,3,0.05515625
opening_mean,A,gap,0.04,133,0.0905639097744361,12.045000000000002,0.2631578947368421,5.589360902255639,3,62,0.247016129032258,15.314999999999996,0.4032258064516129,4.197338709677418,3,0.09581967213114755
opening_mean,A,gap,0.05,108,0.04453703703703704,4.8100000000000005,0.26851851851851855,5.300092592592593,3,43,0.41232558139534875,17.729999999999997,0.4883720930232558,3.2989534883720935,3,0.06044303797468355
opening_mean,A,gap,0.075,54,0.045277777777777785,2.4450000000000003,0.2777777777777778,5.127037037037037,3,23,0.3980434782608696,9.155000000000001,0.5217391304347826,3.0871739130434785,3,0.053509615384615385
opening_mean,A,gap,0.1,30,0.07933333333333335,2.380000000000001,0.3,4.3985,3,9,0.2661111111111112,2.3950000000000005,0.4444444444444444,3.1399999999999997,2,0.05975000000000001
opening_mean,market_favorite,edge,0.0,139,0.018309352517985603,2.544999999999999,0.49640287769784175,2.089820143884892,4,121,-0.16516528925619833,-19.985,0.4297520661157025,2.0708677685950416,0,0.05346560846560846
opening_mean,market_favorite,edge,0.025,115,0.00373913043478261,0.43000000000000016,0.4782608695652174,2.139347826086957,3,101,-0.16955445544554457,-17.125,0.4158415841584158,2.102920792079208,0,0.032606060606060604
opening_mean,market_favorite,edge,0.05,82,-0.04780487804878047,-3.9199999999999986,0.43902439024390244,2.204390243902439,2,81,-0.14043209876543206,-11.374999999999996,0.41975308641975306,2.1326543209876547,0,-0.009696969696969687
opening_mean,market_favorite,edge,0.075,69,0.05115942028985509,3.530000000000001,0.4782608695652174,2.229927536231884,3,61,-0.21745901639344262,-13.264999999999999,0.3770491803278688,2.1918852459016396,1,0.0596638655462185
opening_mean,market_favorite,edge,0.1,51,0.10107843137254903,5.155,0.49019607843137253,2.2890196078431373,4,48,-0.1823958333333333,-8.754999999999999,0.3958333333333333,2.17,1,0.09103960396039604
opening_mean,market_favorite,edge,0.15,34,0.14264705882352943,4.8500000000000005,0.5,2.3295588235294122,4,27,0.10407407407407414,2.810000000000002,0.5185185185185185,2.2274074074074073,3,0.09773809523809524
opening_mean,market_favorite,gap,0.01,154,0.038733766233766224,5.964999999999998,0.5194805194805194,2.064285714285714,4,148,-0.10793918918918917,-15.974999999999998,0.4797297297297297,1.999189189189189,0,0.06924019607843136
opening_mean,market_favorite,gap,0.02,137,-0.0031751824817518285,-0.4350000000000005,0.48905109489051096,2.083978102189781,3,127,-0.14897637795275592,-18.92,0.4566929133858268,2.0203149606299218,0,0.027673796791443845
opening_mean,market_favorite,gap,0.03,119,-0.043781512605042025,-5.210000000000001,0.47058823529411764,2.082310924369748,2,115,-0.15952173913043477,-18.345,0.4434782608695652,2.0346956521739132,0,-0.010828402366863912
opening_mean,market_favorite,gap,0.04,97,-0.06793814432989691,-6.59,0.4536082474226804,2.1085051546391753,2,95,-0.09489473684210527,-9.015,0.47368421052631576,2.0426842105263163,1,-0.024829931972789116
opening_mean,market_favorite,gap,0.05,77,0.012792207792207785,0.9849999999999994,0.4805194805194805,2.141688311688312,2,77,-0.11954545454545455,-9.205,0.45454545454545453,2.058896103896104,1,0.02775590551181102
opening_mean,market_favorite,gap,0.075,43,0.12802325581395352,5.505000000000001,0.5116279069767442,2.2536046511627905,3,46,-0.09717391304347824,-4.469999999999999,0.45652173913043476,2.0588043478260865,1,0.08919354838709678
opening_mean,model_favorite,edge,0.0,196,-0.004744897959183654,-0.9299999999999962,0.4387755102040816,2.398469387755102,3,148,-0.11871621621621622,-17.57,0.4189189189189189,2.224222972972973,1,0.026219512195121968
opening_mean,model_favorite,edge,0.025,170,-0.006147058823529399,-1.0449999999999977,0.4235294117647059,2.4700882352941176,3,126,-0.10087301587301588,-12.71,0.4126984126984127,2.268452380952381,1,0.02525000000000001
opening_mean,model_favorite,edge,0.05,135,-0.044777777777777764,-6.044999999999998,0.3851851851851852,2.586851851851852,4,103,-0.11757281553398058,-12.11,0.39805825242718446,2.3109223300970876,1,0.007324324324324338
opening_mean,model_favorite,edge,0.075,118,-0.004999999999999998,-0.5899999999999999,0.3983050847457627,2.6354661016949144,4,81,-0.1481481481481481,-11.999999999999996,0.37037037037037035,2.3883950617283953,1,0.036488095238095236
opening_mean,model_favorite,edge,0.1,97,0.012061855670103124,1.170000000000003,0.3917525773195876,2.7353092783505155,3,64,-0.09820312499999997,-6.284999999999998,0.390625,2.383046875,1,0.037959183673469406
opening_mean,model_favorite,edge,0.15,73,0.025479452054794554,1.8600000000000025,0.3835616438356164,2.8423287671232873,2,39,0.16820512820512826,6.560000000000002,0.48717948717948717,2.4710256410256406,3,0.03512195121951221
opening_mean,model_favorite,edge,0.2,49,0.0525510204081633,2.5750000000000015,0.3673469387755102,3.0106122448979593,4,29,0.28637931034482766,8.305000000000001,0.5172413793103449,2.5325862068965517,3,0.06601010101010102
opening_mean,model_favorite,gap,0.01,212,0.01995283018867924,4.229999999999999,0.46226415094339623,2.3596933962264153,3,177,-0.08790960451977399,-15.559999999999997,0.4576271186440678,2.146666666666667,1,0.046145038167938926
opening_mean,model_favorite,gap,0.02,192,-0.009947916666666659,-1.9099999999999984,0.4375,2.3926822916666666,3,154,-0.10717532467532465,-16.504999999999995,0.44155844155844154,2.1765584415584414,0,0.02210743801652893
opening_mean,model_favorite,gap,0.03,172,-0.05979651162790698,-10.285,0.4127906976744186,2.4190988372093027,2,139,-0.11316546762589925,-15.729999999999997,0.4316546762589928,2.1915107913669067,0,-0.026328828828828827
opening_mean,model_favorite,gap,0.04,145,-0.0669655172413793,-9.709999999999997,0.4,2.473758620689655,3,115,-0.06739130434782607,-7.749999999999998,0.45217391304347826,2.2070434782608697,1,-0.019794871794871785
opening_mean,model_favorite,gap,0.05,121,-0.03264462809917354,-3.949999999999998,0.4049586776859504,2.541280991735537,2,92,-0.062336956521739144,-5.735000000000001,0.44565217391304346,2.2133695652173917,2,-0.003099415204678352
opening_mean,model_favorite,gap,0.075,77,0.02084415584415585,1.6050000000000004,0.4025974025974026,2.724090909090909,2,56,0.022857142857142857,1.28,0.4642857142857143,2.2328571428571427,2,0.032637795275590555
opening_mean,model_favorite,gap,0.1,45,0.1595555555555556,7.1800000000000015,0.4222222222222222,2.9304444444444453,4,30,0.10650000000000004,3.195000000000001,0.5,2.2621666666666664,2,0.11557894736842106
opening_mean,agree_favorite,edge,0.0,139,0.018309352517985603,2.544999999999999,0.49640287769784175,2.089820143884892,4,121,-0.16516528925619833,-19.985,0.4297520661157025,2.0708677685950416,0,0.05346560846560846
opening_mean,agree_favorite,edge,0.025,115,0.00373913043478261,0.43000000000000016,0.4782608695652174,2.139347826086957,3,101,-0.16955445544554457,-17.125,0.4158415841584158,2.102920792079208,0,0.032606060606060604
opening_mean,agree_favorite,edge,0.05,82,-0.04780487804878047,-3.9199999999999986,0.43902439024390244,2.204390243902439,2,81,-0.14043209876543206,-11.374999999999996,0.41975308641975306,2.1326543209876547,0,-0.009696969696969687
opening_mean,agree_favorite,edge,0.075,69,0.05115942028985509,3.530000000000001,0.4782608695652174,2.229927536231884,3,61,-0.21745901639344262,-13.264999999999999,0.3770491803278688,2.1918852459016396,1,0.0596638655462185
